window,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,1.938798,2.337,2.313469,6,8,3.3098,3905.163
1,phase1,1024,3.0,30000,1.260978,3.4131,1.734856,6,8,2.1527,3905.163
2,phase1,1024,3.0,30000,1.266878,3.3963,1.545354,6,8,2.1627,3905.163
3,phase1,1024,3.0,30000,1.256126,3.4283,1.446006,6,8,2.1444,3905.163
4,phase1,1024,3.0,30000,1.257746,3.4197,1.386955,6,8,2.1472,3905.163
5,phase1,1024,3.0,30000,1.237619,3.4754,1.34186,6,8,2.1128,3905.163
6,phase1,1024,3.0,30000,1.244751,3.4566,1.311391,6,8,2.125,3905.163
7,phase2,1024,1.2,30000,1.273223,3.3799,4.736524,6,8,5.4339,3905.163
8,phase2,1024,1.2,30000,1.283227,3.3539,4.708654,6,8,5.4766,3905.163
9,phase2,1024,1.2,30000,1.273534,3.3792,4.682213,6,8,5.4353,3905.163
10,phase2,1024,1.2,30000,1.2634,3.4054,4.65665,6,8,5.392,3905.163
11,phase2,1024,1.2,30000,1.26586,3.3981,4.636214,6,8,5.4025,3905.163
12,phase2,1024,1.2,30000,1.073372,4.3088,4.555538,6,8,4.581,3905.163
13,phase2,1024,1.2,30000,0.678208,6.3431,4.365508,6,8,2.8945,3905.163
14,phase2,1024,1.2,30000,0.686387,6.2653,4.203141,6,8,2.9294,3905.163
