epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,0.254148,17.0904,-0.562197,1,32,0.4339,3905.163
1,phase1,1024,3.0,30000,0.440912,9.8569,-0.403046,2,24,0.7527,3905.163
2,phase1,1024,3.0,30000,0.457803,9.4592,-0.340297,2,24,0.7815,3905.163
3,phase1,1024,3.0,30000,0.404545,11.4114,-0.331676,2,24,0.6906,3905.163
4,phase1,1024,3.0,30000,0.220216,19.5462,-0.389438,2,24,0.3759,3905.163
5,phase1,1024,3.0,30000,0.221018,19.4763,-0.427687,2,24,0.3773,3905.163
6,phase1,1024,3.0,30000,0.220311,19.5388,-0.455204,2,24,0.3761,3905.163
7,phase2,1024,1.2,30000,0.220377,19.5229,0.310482,6,8,0.9405,3905.163
8,phase2,1024,1.2,30000,0.216375,20.0578,0.268521,4,0,0.9235,3905.163
9,phase2,1024,1.2,30000,0.269436,16.2498,0.257596,4,0,1.1499,3905.163
10,phase2,1024,1.2,30000,0.264682,16.3434,0.246819,4,0,1.1296,3905.163
11,phase2,1024,1.2,30000,0.268373,16.1485,0.239147,4,0,1.1454,3905.163
12,phase2,1024,1.2,30000,0.256338,16.8232,0.228672,4,0,1.094,3905.163
13,phase2,1024,1.2,30000,0.25033,17.2341,0.217894,4,0,1.0684,3905.163
14,phase2,1024,1.2,30000,0.269705,16.0561,0.214067,4,0,1.1511,3905.163
