iter,window,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,1.2,30000,0.874695,4.9102,phase1
1,0,1024,1.2,30000,0.688506,6.2381,phase1
2,0,1024,1.2,30000,0.64883,6.6196,phase1
3,0,1024,1.2,30000,0.663422,6.474,phase1
4,0,1024,1.2,30000,0.686826,6.2534,phase1
5,0,1024,1.2,30000,0.622004,6.905,phase1
6,0,1024,1.2,30000,0.618379,6.9455,phase1
7,0,1024,1.2,30000,0.628102,6.838,phase1
8,0,1024,1.2,30000,0.599934,7.1591,phase1
9,0,1024,1.2,30000,0.680351,6.3129,phase1
10,0,1024,1.2,30000,0.654003,6.5672,phase1
11,0,1024,1.2,30000,0.63698,6.7427,phase1
12,0,1024,1.2,30000,0.690099,6.2237,phase1
13,0,1024,1.2,30000,0.655338,6.5538,phase1
14,0,1024,1.2,30000,0.665052,6.4581,phase1
15,0,1024,1.2,30000,0.812263,5.2877,phase1
16,0,1024,1.2,30000,1.170415,3.6696,phase1
17,0,1024,1.2,30000,1.317508,3.2599,phase1
18,0,1024,1.2,30000,1.198608,3.5833,phase1
19,0,1024,1.2,30000,1.304772,3.2917,phase1
20,1,1024,1.2,30000,1.114813,3.8526,phase1
21,1,1024,1.2,30000,1.20944,3.5512,phase1
22,1,1024,1.2,30000,1.111539,3.864,phase1
23,1,1024,1.2,30000,1.19663,3.5892,phase1
24,1,1024,1.2,30000,1.140214,3.7668,phase1
25,1,1024,1.2,30000,1.204783,3.5649,phase1
26,1,1024,1.2,30000,1.19629,3.5902,phase1
27,1,1024,1.2,30000,1.119971,3.8349,phase1
28,1,1024,1.2,30000,1.137227,3.7767,phase1
29,1,1024,1.2,30000,1.318861,3.2566,phase1
30,1,1024,1.2,30000,1.245563,3.4482,phase1
31,1,1024,1.2,30000,1.140266,3.7666,phase1
32,1,1024,1.2,30000,1.170272,3.6701,phase1
33,1,1024,1.2,30000,1.197442,3.5868,phase1
34,1,1024,1.2,30000,1.23098,3.4891,phase1
35,1,1024,1.2,30000,1.438903,2.9849,phase1
36,1,1024,1.2,30000,1.157662,3.71,phase1
37,1,1024,1.2,30000,1.213652,3.5389,phase1
38,1,1024,1.2,30000,1.118453,3.8401,phase1
39,1,1024,1.2,30000,1.136704,3.7784,phase1
40,2,1024,1.2,30000,1.321912,3.2491,phase1
41,2,1024,1.2,30000,1.187824,3.6158,phase1
42,2,1024,1.2,30000,1.164131,3.6894,phase1
43,2,1024,1.2,30000,1.209729,3.5504,phase1
44,2,1024,1.2,30000,1.244542,3.451,phase1
45,2,1024,1.2,30000,1.162378,3.695,phase1
46,2,1024,1.2,30000,1.150897,3.7318,phase1
47,2,1024,1.2,30000,1.300923,3.3015,phase1
48,2,1024,1.2,30000,1.253172,3.4273,phase1
49,2,1024,1.2,30000,1.142419,3.7595,phase1
50,2,1024,1.2,30000,1.15251,3.7266,phase1
51,2,1024,1.2,30000,1.339428,3.2066,phase1
52,2,1024,1.2,30000,1.157917,3.7092,phase1
53,2,1024,1.2,30000,1.110818,3.8665,phase1
54,2,1024,1.2,30000,1.2149,3.5352,phase1
55,2,1024,1.2,30000,1.157898,3.7093,phase1
56,2,1024,1.2,30000,1.147969,3.7414,phase1
57,2,1024,1.2,30000,1.149192,3.7374,phase1
58,2,1024,1.2,30000,1.24562,3.4481,phase1
59,2,1024,1.2,30000,1.166973,3.6804,phase1
60,3,1024,1.2,30000,1.137148,3.777,phase1
61,3,1024,1.2,30000,1.205286,3.5634,phase1
62,3,1024,1.2,30000,1.125189,3.8171,phase1
63,3,1024,1.2,30000,1.127868,3.808,phase1
64,3,1024,1.2,30000,1.409503,3.0471,phase1
65,3,1024,1.2,30000,1.166561,3.6817,phase1
66,3,1024,1.2,30000,1.179296,3.642,phase1
67,3,1024,1.2,30000,1.123875,3.8216,phase1
68,3,1024,1.2,30000,1.132596,3.7921,phase1
69,3,1024,1.2,30000,1.180232,3.6391,phase1
70,3,1024,1.2,30000,1.115589,3.85,phase1
71,3,1024,1.2,30000,1.162386,3.695,phase1
72,3,1024,1.2,30000,1.233764,3.4812,phase1
73,3,1024,1.2,30000,1.189868,3.6096,phase1
74,3,1024,1.2,30000,1.144982,3.7511,phase1
75,3,1024,1.2,30000,1.212143,3.5433,phase1
76,3,1024,1.2,30000,1.157773,3.7097,phase1
77,3,1024,1.2,30000,1.106779,3.8806,phase1
78,3,1024,1.2,30000,1.191121,3.6058,phase1
79,3,1024,1.2,30000,1.153605,3.7231,phase1
80,4,1024,1.2,30000,1.161016,3.6993,phase1
81,4,1024,1.2,30000,1.180638,3.6378,phase1
82,4,1024,1.2,30000,1.10999,3.8694,phase1
83,4,1024,1.2,30000,1.189629,3.6103,phase1
84,4,1024,1.2,30000,1.223887,3.5093,phase1
85,4,1024,1.2,30000,1.132248,3.7933,phase1
86,4,1024,1.2,30000,1.222551,3.5131,phase1
87,4,1024,1.2,30000,1.15032,3.7337,phase1
88,4,1024,1.2,30000,1.170746,3.6686,phase1
89,4,1024,1.2,30000,1.21459,3.5361,phase1
90,4,1024,1.2,30000,1.345783,3.1914,phase1
91,4,1024,1.2,30000,1.31896,3.2563,phase1
92,4,1024,1.2,30000,1.123375,3.8233,phase1
93,4,1024,1.2,30000,1.140674,3.7653,phase1
94,4,1024,1.2,30000,1.128412,3.8062,phase1
95,4,1024,1.2,30000,1.304722,3.2919,phase1
96,4,1024,1.2,30000,1.095624,3.9201,phase1
97,4,1024,1.2,30000,1.180844,3.6372,phase1
98,4,1024,1.2,30000,1.292434,3.3232,phase1
99,4,1024,1.2,30000,1.218534,3.5247,phase1
100,5,1024,1.2,30000,1.300757,3.3019,phase1
101,5,1024,1.2,30000,1.120664,3.8325,phase1
102,5,1024,1.2,30000,1.111947,3.8626,phase1
103,5,1024,1.2,30000,1.153831,3.7224,phase1
104,5,1024,1.2,30000,1.2831,3.3473,phase1
105,5,1024,1.2,30000,1.172743,3.6623,phase1
106,5,1024,1.2,30000,1.271863,3.3769,phase1
107,5,1024,1.2,30000,1.201178,3.5756,phase1
108,5,1024,1.2,30000,1.127704,3.8086,phase1
109,5,1024,1.2,30000,1.114416,3.854,phase1
110,5,1024,1.2,30000,1.171533,3.6661,phase1
111,5,1024,1.2,30000,1.193776,3.5978,phase1
112,5,1024,1.2,30000,1.206592,3.5596,phase1
113,5,1024,1.2,30000,1.400725,3.0662,phase1
114,5,1024,1.2,30000,1.110686,3.867,phase1
115,5,1024,1.2,30000,1.163343,3.6919,phase1
116,5,1024,1.2,30000,1.192763,3.6009,phase1
117,5,1024,1.2,30000,1.084442,3.9605,phase1
118,5,1024,1.2,30000,1.213766,3.5385,phase1
