iter,window,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,1.2,30000,0.945869,4.5408,phase1
1,0,1024,1.2,30000,0.664438,6.4641,phase1
2,0,1024,1.2,30000,0.716129,5.9975,phase1
3,0,1024,1.2,30000,0.763435,5.6258,phase1
4,0,1024,1.2,30000,0.699275,6.142,phase1
5,0,1024,1.2,30000,0.678868,6.3267,phase1
6,0,1024,1.2,30000,0.700148,6.1344,phase1
7,0,1024,1.2,30000,0.679677,6.3191,phase1
8,0,1024,1.2,30000,0.656947,6.5378,phase1
9,0,1024,1.2,30000,0.702611,6.1129,phase1
10,0,1024,1.2,30000,0.623141,6.8924,phase1
11,0,1024,1.2,30000,0.687688,6.2455,phase1
12,0,1024,1.2,30000,0.607066,7.075,phase1
13,0,1024,1.2,30000,0.702183,6.1166,phase1
14,0,1024,1.2,30000,0.635495,6.7585,phase1
15,0,1024,1.2,30000,0.724488,5.9283,phase1
16,0,1024,1.2,30000,0.826076,5.1992,phase1
17,0,1024,1.2,30000,1.265468,3.394,phase1
18,0,1024,1.2,30000,1.300507,3.3025,phase1
19,0,1024,1.2,30000,1.21739,3.528,phase1
20,1,1024,1.2,30000,0.785215,5.4698,phase1
21,1,1024,1.2,30000,0.870261,4.9353,phase1
22,1,1024,1.2,30000,0.880472,4.878,phase1
23,1,1024,1.2,30000,0.785289,5.4693,phase1
24,1,1024,1.2,30000,0.811219,5.2945,phase1
25,1,1024,1.2,30000,0.820135,5.2369,phase1
26,1,1024,1.2,30000,0.763854,5.6228,phase1
27,1,1024,1.2,30000,0.793863,5.4102,phase1
28,1,1024,1.2,30000,0.820371,5.2354,phase1
29,1,1024,1.2,30000,0.794039,5.409,phase1
30,1,1024,1.2,30000,0.838814,5.1203,phase1
31,1,1024,1.2,30000,0.85418,5.0282,phase1
32,1,1024,1.2,30000,0.811327,5.2938,phase1
33,1,1024,1.2,30000,0.81215,5.2884,phase1
34,1,1024,1.2,30000,0.807166,5.321,phase1
35,1,1024,1.2,30000,0.857484,5.0088,phase1
36,1,1024,1.2,30000,0.789241,5.4419,phase1
37,1,1024,1.2,30000,0.77476,5.5436,phase1
38,1,1024,1.2,30000,0.807239,5.3206,phase1
39,1,1024,1.2,30000,0.803223,5.3472,phase1
40,2,1024,1.2,30000,0.789432,5.4406,phase1
41,2,1024,1.2,30000,0.832669,5.1581,phase1
42,2,1024,1.2,30000,0.863414,4.9744,phase1
43,2,1024,1.2,30000,0.780647,5.5018,phase1
44,2,1024,1.2,30000,0.787665,5.4528,phase1
45,2,1024,1.2,30000,0.777026,5.5274,phase1
46,2,1024,1.2,30000,0.799057,5.375,phase1
47,2,1024,1.2,30000,0.820269,5.236,phase1
48,2,1024,1.2,30000,0.772768,5.5579,phase1
49,2,1024,1.2,30000,0.780642,5.5018,phase1
50,2,1024,1.2,30000,0.897524,4.7854,phase1
51,2,1024,1.2,30000,0.850325,5.051,phase1
52,2,1024,1.2,30000,0.784986,5.4714,phase1
53,2,1024,1.2,30000,0.799381,5.3729,phase1
54,2,1024,1.2,30000,0.78098,5.4995,phase1
55,2,1024,1.2,30000,0.882832,4.865,phase1
56,2,1024,1.2,30000,0.750664,5.7216,phase1
57,2,1024,1.2,30000,0.819704,5.2397,phase1
58,2,1024,1.2,30000,1.334191,3.2192,phase1
59,2,1024,1.2,30000,1.369851,3.1354,phase1
60,3,1024,1.2,30000,1.356652,3.1659,phase1
61,3,1024,1.2,30000,1.42565,3.0126,phase1
62,3,1024,1.2,30000,1.482223,2.8977,phase1
63,3,1024,1.2,30000,1.347752,3.1868,phase1
64,3,1024,1.2,30000,1.430001,3.0035,phase1
65,3,1024,1.2,30000,1.486298,2.8897,phase1
66,3,1024,1.2,30000,1.37328,3.1275,phase1
67,3,1024,1.2,30000,1.358834,3.1608,phase1
68,3,1024,1.2,30000,1.400415,3.0669,phase1
69,3,1024,1.2,30000,1.374388,3.125,phase1
70,3,1024,1.2,30000,1.369628,3.1359,phase1
71,3,1024,1.2,30000,1.356795,3.1655,phase1
72,3,1024,1.2,30000,1.330799,3.2274,phase1
73,3,1024,1.2,30000,1.395761,3.0772,phase1
74,3,1024,1.2,30000,1.503221,2.8572,phase1
75,3,1024,1.2,30000,1.600742,2.6831,phase1
76,3,1024,1.2,30000,1.361071,3.1556,phase1
77,3,1024,1.2,30000,1.409526,3.0471,phase1
78,3,1024,1.2,30000,1.297722,3.3096,phase1
79,3,1024,1.2,30000,1.516557,2.8321,phase1
80,4,1024,1.2,30000,1.455679,2.9505,phase1
81,4,1024,1.2,30000,1.375114,3.1234,phase1
82,4,1024,1.2,30000,1.429761,3.004,phase1
83,4,1024,1.2,30000,1.39599,3.0766,phase1
84,4,1024,1.2,30000,1.335051,3.2171,phase1
85,4,1024,1.2,30000,1.391372,3.0869,phase1
86,4,1024,1.2,30000,1.387784,3.0948,phase1
87,4,1024,1.2,30000,1.464043,2.9336,phase1
88,4,1024,1.2,30000,1.451602,2.9588,phase1
89,4,1024,1.2,30000,1.408237,3.0499,phase1
90,4,1024,1.2,30000,1.421966,3.0204,phase1
91,4,1024,1.2,30000,1.40085,3.066,phase1
92,4,1024,1.2,30000,1.357682,3.1635,phase1
93,4,1024,1.2,30000,1.370854,3.1331,phase1
94,4,1024,1.2,30000,1.434698,2.9936,phase1
95,4,1024,1.2,30000,1.453616,2.9547,phase1
96,4,1024,1.2,30000,1.390915,3.0879,phase1
97,4,1024,1.2,30000,1.407797,3.0508,phase1
98,4,1024,1.2,30000,1.393402,3.0824,phase1
99,4,1024,1.2,30000,1.345702,3.1916,phase1
100,5,1024,1.2,30000,1.440493,2.9816,phase1
101,5,1024,1.2,30000,1.36061,3.1566,phase1
102,5,1024,1.2,30000,1.308742,3.2818,phase1
103,5,1024,1.2,30000,1.369321,3.1366,phase1
104,5,1024,1.2,30000,1.326744,3.2372,phase1
105,5,1024,1.2,30000,1.338997,3.2076,phase1
106,5,1024,1.2,30000,1.388189,3.0939,phase1
107,5,1024,1.2,30000,1.443499,2.9754,phase1
108,5,1024,1.2,30000,1.335053,3.2171,phase1
109,5,1024,1.2,30000,1.413769,3.038,phase1
110,5,1024,1.2,30000,1.321845,3.2492,phase1
111,5,1024,1.2,30000,1.462145,2.9374,phase1
112,5,1024,1.2,30000,1.501731,2.86,phase1
113,5,1024,1.2,30000,1.384888,3.1013,phase1
114,5,1024,1.2,30000,1.423613,3.0169,phase1
115,5,1024,1.2,30000,1.413969,3.0375,phase1
116,5,1024,1.2,30000,1.471217,2.9193,phase1
117,5,1024,1.2,30000,1.383504,3.1044,phase1
118,5,1024,1.2,30000,1.465589,2.9305,phase1
119,5,1024,1.2,30000,1.311979,3.2737,phase1
120,6,1024,1.2,30000,1.400231,3.0673,phase1
121,6,1024,1.2,30000,1.395644,3.0774,phase1
122,6,1024,1.2,30000,1.24571,3.4478,phase1
123,6,1024,1.2,30000,1.442922,2.9766,phase1
124,6,1024,1.2,30000,1.455954,2.9499,phase1
