window,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,1.2,30000,0.789845,5.732,2.136163,6,8,3.1335,4201.087
1,phase1,1024,1.2,30000,0.814015,5.2837,2.186843,6,8,3.2294,4201.087
2,phase1,1024,1.2,30000,0.863701,5.1043,2.269477,6,8,3.4265,4201.087
3,phase1,1024,1.2,30000,1.408866,3.0563,2.851486,6,8,5.5893,4201.087
4,phase1,1024,1.2,30000,1.403606,3.062,3.19653,6,8,5.5684,4201.087
5,phase1,1024,1.2,30000,1.393295,3.0878,3.419755,6,8,5.5275,4201.087
6,phase1,1024,1.2,30000,1.406017,3.0613,3.586416,6,8,5.578,4201.087
7,phase2,1024,3.0,30000,1.381622,3.1131,0.879711,6,8,2.1925,4201.087
8,phase2,1024,3.0,30000,1.394822,3.082,0.917167,6,8,2.2134,4201.087
9,phase2,1024,3.0,30000,1.381327,3.1149,0.944989,6,8,2.192,4201.087
10,phase2,1024,3.0,30000,1.387158,3.1024,0.968593,6,8,2.2013,4201.087
11,phase2,1024,3.0,30000,1.390305,3.0955,0.988679,6,8,2.2063,4201.087
12,phase2,1024,3.0,30000,1.36283,3.1551,1.002321,6,8,2.1627,4201.087
13,phase2,1024,3.0,30000,1.371339,3.1368,1.014979,6,8,2.1762,4201.087
14,phase2,1024,3.0,30000,1.387924,3.0994,1.027703,6,8,2.2025,4201.087
