iter,window,payload_mb,c_i,sleep_us,comm_dur_s,bw_gbps,phase
0,0,1024,3.0,30000,1.421983,3.0204,phase1
1,0,1024,3.0,30000,1.278734,3.3588,phase1
2,0,1024,3.0,30000,1.231485,3.4876,phase1
3,0,1024,3.0,30000,1.708242,2.5143,phase1
4,0,1024,3.0,30000,1.950949,2.2015,phase1
5,0,1024,3.0,30000,1.694673,2.5344,phase1
6,0,1024,3.0,30000,1.60355,2.6784,phase1
7,0,1024,3.0,30000,2.031386,2.1143,phase1
8,0,1024,3.0,30000,1.955709,2.1961,phase1
9,0,1024,3.0,30000,1.998744,2.1488,phase1
10,0,1024,3.0,30000,1.770672,2.4256,phase1
11,0,1024,3.0,30000,1.755919,2.446,phase1
12,0,1024,3.0,30000,1.902043,2.2581,phase1
13,0,1024,3.0,30000,1.731012,2.4812,phase1
14,0,1024,3.0,30000,1.777882,2.4158,phase1
15,0,1024,3.0,30000,1.837855,2.3369,phase1
16,0,1024,3.0,30000,1.962447,2.1886,phase1
17,0,1024,3.0,30000,1.758914,2.4418,phase1
18,0,1024,3.0,30000,1.965168,2.1855,phase1
19,0,1024,3.0,30000,1.798891,2.3876,phase1
20,1,1024,3.0,30000,1.369341,3.1365,phase1
21,1,1024,3.0,30000,1.369971,3.1351,phase1
22,1,1024,3.0,30000,1.374035,3.1258,phase1
23,1,1024,3.0,30000,1.434656,2.9937,phase1
24,1,1024,3.0,30000,1.477382,2.9071,phase1
25,1,1024,3.0,30000,1.348284,3.1855,phase1
26,1,1024,3.0,30000,1.442433,2.9776,phase1
27,1,1024,3.0,30000,1.473618,2.9146,phase1
28,1,1024,3.0,30000,1.387714,3.095,phase1
29,1,1024,3.0,30000,1.358664,3.1612,phase1
30,1,1024,3.0,30000,1.374922,3.1238,phase1
31,1,1024,3.0,30000,1.382531,3.1066,phase1
32,1,1024,3.0,30000,1.374327,3.1251,phase1
33,1,1024,3.0,30000,1.34891,3.184,phase1
34,1,1024,3.0,30000,1.348213,3.1857,phase1
35,1,1024,3.0,30000,1.396054,3.0765,phase1
36,1,1024,3.0,30000,1.486365,2.8896,phase1
37,1,1024,3.0,30000,1.438744,2.9852,phase1
38,1,1024,3.0,30000,1.376438,3.1203,phase1
39,1,1024,3.0,30000,1.407993,3.0504,phase1
40,2,1024,3.0,30000,1.290799,3.3274,phase1
41,2,1024,3.0,30000,1.408123,3.0501,phase1
42,2,1024,3.0,30000,1.44783,2.9665,phase1
43,2,1024,3.0,30000,1.383547,3.1043,phase1
44,2,1024,3.0,30000,1.40446,3.0581,phase1
45,2,1024,3.0,30000,1.40869,3.0489,phase1
46,2,1024,3.0,30000,1.34426,3.195,phase1
47,2,1024,3.0,30000,1.374868,3.1239,phase1
48,2,1024,3.0,30000,1.413944,3.0376,phase1
49,2,1024,3.0,30000,1.430003,3.0035,phase1
50,2,1024,3.0,30000,1.447238,2.9677,phase1
51,2,1024,3.0,30000,1.430166,3.0031,phase1
52,2,1024,3.0,30000,1.413199,3.0392,phase1
53,2,1024,3.0,30000,1.405399,3.056,phase1
54,2,1024,3.0,30000,1.343133,3.1977,phase1
55,2,1024,3.0,30000,1.355202,3.1692,phase1
56,2,1024,3.0,30000,1.455716,2.9504,phase1
57,2,1024,3.0,30000,1.436114,2.9907,phase1
58,2,1024,3.0,30000,1.413104,3.0394,phase1
59,2,1024,3.0,30000,1.395015,3.0788,phase1
60,3,1024,3.0,30000,1.401671,3.0642,phase1
61,3,1024,3.0,30000,1.367443,3.1409,phase1
62,3,1024,3.0,30000,1.398441,3.0713,phase1
63,3,1024,3.0,30000,1.378863,3.1149,phase1
64,3,1024,3.0,30000,1.322632,3.2473,phase1
65,3,1024,3.0,30000,1.343439,3.197,phase1
66,3,1024,3.0,30000,1.331632,3.2253,phase1
67,3,1024,3.0,30000,1.351986,3.1768,phase1
68,3,1024,3.0,30000,1.370566,3.1337,phase1
69,3,1024,3.0,30000,1.410532,3.0449,phase1
70,3,1024,3.0,30000,1.340208,3.2047,phase1
71,3,1024,3.0,30000,1.401015,3.0656,phase1
72,3,1024,3.0,30000,1.309116,3.2808,phase1
73,3,1024,3.0,30000,1.440179,2.9822,phase1
74,3,1024,3.0,30000,1.552976,2.7656,phase1
75,3,1024,3.0,30000,1.372843,3.1285,phase1
76,3,1024,3.0,30000,1.432036,2.9992,phase1
77,3,1024,3.0,30000,1.41449,3.0364,phase1
78,3,1024,3.0,30000,1.482592,2.8969,phase1
79,3,1024,3.0,30000,1.34567,3.1917,phase1
80,4,1024,3.0,30000,1.431506,3.0003,phase1
81,4,1024,3.0,30000,1.36316,3.1507,phase1
82,4,1024,3.0,30000,1.396904,3.0746,phase1
83,4,1024,3.0,30000,1.387067,3.0964,phase1
84,4,1024,3.0,30000,1.287668,3.3355,phase1
85,4,1024,3.0,30000,1.435498,2.992,phase1
86,4,1024,3.0,30000,1.447465,2.9672,phase1
87,4,1024,3.0,30000,1.36155,3.1545,phase1
88,4,1024,3.0,30000,1.430365,3.0027,phase1
89,4,1024,3.0,30000,1.357466,3.164,phase1
90,4,1024,3.0,30000,1.365651,3.145,phase1
91,4,1024,3.0,30000,1.335164,3.2168,phase1
92,4,1024,3.0,30000,1.415563,3.0341,phase1
93,4,1024,3.0,30000,1.409674,3.0468,phase1
94,4,1024,3.0,30000,1.4064,3.0539,phase1
95,4,1024,3.0,30000,1.343559,3.1967,phase1
96,4,1024,3.0,30000,1.408792,3.0487,phase1
97,4,1024,3.0,30000,1.378206,3.1163,phase1
98,4,1024,3.0,30000,1.531873,2.8037,phase1
99,4,1024,3.0,30000,1.481256,2.8995,phase1
100,5,1024,3.0,30000,1.352815,3.1748,phase1
101,5,1024,3.0,30000,1.460224,2.9413,phase1
102,5,1024,3.0,30000,1.43455,2.9939,phase1
103,5,1024,3.0,30000,1.374227,3.1254,phase1
104,5,1024,3.0,30000,1.448385,2.9653,phase1
105,5,1024,3.0,30000,1.400134,3.0675,phase1
106,5,1024,3.0,30000,1.362249,3.1528,phase1
107,5,1024,3.0,30000,1.383322,3.1048,phase1
108,5,1024,3.0,30000,1.42681,3.0102,phase1
109,5,1024,3.0,30000,1.452153,2.9577,phase1
