window,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,3.0,30000,1.756813,2.4911,2.002216,6,8,2.9991,3905.163
1,phase1,1024,3.0,30000,1.39853,3.074,1.696371,6,8,2.3875,3905.163
2,phase1,1024,3.0,30000,1.40004,3.0704,1.595366,6,8,2.3901,3905.163
3,phase1,1024,3.0,30000,1.388417,3.0984,1.539834,6,8,2.3702,3905.163
4,phase1,1024,3.0,30000,1.398739,3.075,1.510151,6,8,2.3878,3905.163
5,phase1,1024,3.0,30000,1.385401,3.105,1.486512,6,8,2.3651,3905.163
6,phase1,1024,3.0,30000,1.394458,3.084,1.471867,6,8,2.3805,3905.163
7,phase2,1024,1.2,30000,1.375696,3.1241,5.142186,6,8,5.8713,3905.163
8,phase2,1024,1.2,30000,1.389454,3.0959,5.119606,6,8,5.93,3905.163
9,phase2,1024,1.2,30000,1.392414,3.0886,5.102802,6,8,5.9426,3905.163
10,phase2,1024,1.2,30000,1.36373,3.1544,5.077925,6,8,5.8202,3905.163
11,phase2,1024,1.2,30000,1.373687,3.1315,5.060697,6,8,5.8627,3905.163
12,phase2,1024,1.2,30000,1.389192,3.0966,5.051233,6,8,5.9289,3905.163
13,phase2,1024,1.2,30000,0.753569,5.9799,4.848855,6,8,3.2161,3905.163
14,phase2,1024,1.2,30000,0.665302,6.4626,4.64826,6,8,2.8394,3905.163
