window,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,1.2,30000,0.765401,5.9353,2.038805,6,8,3.0365,4201.087
1,phase1,1024,1.2,30000,0.730427,5.8818,1.972357,6,8,2.8978,4201.087
2,phase1,1024,1.2,30000,0.726252,5.916,1.944723,6,8,2.8812,4201.087
3,phase1,1024,1.2,30000,1.085425,4.214,2.287136,6,8,4.3061,4201.087
4,phase1,1024,1.2,30000,1.271832,3.3825,2.640487,6,8,5.0456,4201.087
5,phase1,1024,1.2,30000,1.256871,3.4257,2.866176,6,8,4.9863,4201.087
6,phase1,1024,1.2,30000,1.2491,3.4453,3.022984,6,8,4.9555,4201.087
7,phase2,1024,3.0,30000,1.244194,3.4575,0.655252,6,8,1.9744,4201.087
8,phase2,1024,3.0,30000,1.251447,3.4391,0.692362,6,8,1.9859,4201.087
9,phase2,1024,3.0,30000,1.259309,3.416,0.7233,6,8,1.9984,4201.087
10,phase2,1024,3.0,30000,1.275986,3.3783,0.750997,6,8,2.0249,4201.087
11,phase2,1024,3.0,30000,1.281239,3.3604,0.774767,6,8,2.0332,4201.087
12,phase2,1024,3.0,30000,1.271612,3.3853,0.793717,6,8,2.0179,4201.087
13,phase2,1024,3.0,30000,1.268152,3.3929,0.809573,6,8,2.0124,4201.087
14,phase2,1024,3.0,30000,1.256693,3.4278,0.822104,6,8,1.9942,4201.087
