window,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,1.2,30000,0.599414,7.1855,1.378738,3,16,2.378,4201.087
1,phase1,1024,1.2,30000,1.263086,3.4183,2.698903,3,16,5.0109,4201.087
2,phase1,1024,1.2,30000,1.282875,3.3717,3.165199,3,16,5.0895,4201.087
3,phase1,1024,1.2,30000,1.193268,3.613,3.309315,3,16,4.734,4201.087
4,phase1,1024,1.2,30000,1.196547,3.593,3.398521,3,16,4.747,4201.087
5,phase1,1024,1.2,30000,1.212166,3.5538,3.46833,3,16,4.8089,4201.087
6,phase1,1024,1.2,30000,1.193702,3.6031,3.507725,3,16,4.7357,4201.087
7,phase2,1024,3.0,30000,1.215936,3.5401,0.819315,3,16,1.9296,4201.087
8,phase2,1024,3.0,30000,1.203063,3.5796,0.82967,3,16,1.9091,4201.087
9,phase2,1024,3.0,30000,1.220282,3.532,0.840687,3,16,1.9365,4201.087
10,phase2,1024,3.0,30000,1.209085,3.563,0.848084,3,16,1.9187,4201.087
11,phase2,1024,3.0,30000,1.20605,3.5711,0.853848,3,16,1.9139,4201.087
12,phase2,1024,3.0,30000,1.239149,3.4818,0.862765,3,16,1.9664,4201.087
13,phase2,1024,3.0,30000,1.193942,3.6035,0.865285,3,16,1.8947,4201.087
14,phase2,1024,3.0,30000,1.228139,3.5113,0.871087,3,16,1.9489,4201.087
