round_id,order,scheduler,phase,tight_job,c_i,epochs,n_epochs,slowdown_mean,slowdown_min,slowdown_max,slowdown_std,epoch_detail,note
orig_r1,LL→CX,longliu,phase1_tight,A,1.2,0-6,7,1.0251,0.7077,1.2984,0.2709,e0:0.7209;e1:0.7077;e2:0.7135;e3:1.2036;e4:1.2482;e5:1.2984;e6:1.2836,
orig_r1,LL→CX,crux,phase1_tight,A,1.2,0-6,7,0.9914,0.6970,1.2188,0.2458,e0:0.7214;e1:0.7059;e2:0.6970;e3:1.1780;e4:1.2188;e5:1.2028;e6:1.2162,
orig_r1,LL→CX,longliu,phase2_tight_stable,B,1.2,7-11,5,1.1075,1.0780,1.1441,0.0235,e7:1.1441;e8:1.1220;e9:1.1036;e10:1.0780;e11:1.0897,
orig_r1,LL→CX,crux,phase2_tight_stable,B,1.2,7-11,5,1.3022,1.2942,1.3101,0.0055,e7:1.3062;e8:1.2997;e9:1.2942;e10:1.3101;e11:1.3008,
orig_r1,LL→CX,longliu,phase2_tight_full,B,1.2,7-14,8,1.0941,1.0415,1.1441,0.0291,e7:1.1441;e8:1.1220;e9:1.1036;e10:1.0780;e11:1.0897;e12:1.0985;e13:1.0758;e14:1.0415,
orig_r1,LL→CX,crux,phase2_tight_full,B,1.2,7-14,8,1.0958,0.7460,1.3101,0.2665,e7:1.3062;e8:1.2997;e9:1.2942;e10:1.3101;e11:1.3008;e12:0.7602;e13:0.7460;e14:0.7496,
rep1_r1,LL→CX,longliu,phase2_tight_stable,B,1.2,7-11,5,1.1075,1.0780,1.1441,0.0235,e7:1.1441;e8:1.1220;e9:1.1036;e10:1.0780;e11:1.0897,byte-for-byte identical to orig (md5 verified)
rep1_r1,LL→CX,crux,phase2_tight_stable,B,1.2,7-11,5,1.3022,1.2942,1.3101,0.0055,e7:1.3062;e8:1.2997;e9:1.2942;e10:1.3101;e11:1.3008,byte-for-byte identical to orig (md5 verified)
rep1_r1,LL→CX,longliu,phase2_tight_full,B,1.2,7-14,8,1.0941,1.0415,1.1441,0.0291,e7:1.1441;e8:1.1220;e9:1.1036;e10:1.0780;e11:1.0897;e12:1.0985;e13:1.0758;e14:1.0415,byte-for-byte identical to orig (md5 verified)
rep1_r1,LL→CX,crux,phase2_tight_full,B,1.2,7-14,8,1.0958,0.7460,1.3101,0.2665,e7:1.3062;e8:1.2997;e9:1.2942;e10:1.3101;e11:1.3008;e12:0.7602;e13:0.7460;e14:0.7496,byte-for-byte identical to orig (md5 verified)
rep2_r1,LL→CX,longliu,phase2_tight_stable,B,1.2,7-11,5,1.2496,1.1378,1.2909,0.0573,e7:1.1378;e8:1.2888;e9:1.2746;e10:1.2909;e11:1.2558,
rep2_r1,LL→CX,crux,phase2_tight_stable,B,1.2,7-11,5,1.2541,1.2478,1.2618,0.0045,e7:1.2478;e8:1.2528;e9:1.2536;e10:1.2544;e11:1.2618,
