epoch,phase,payload_mb,c_i,sleep_us,avg_comm_s,avg_bw_gbps,pi,priority,dscp,slowdown,t_target_ms
0,phase1,1024,1.2,30000,0.181716,24.0725,-0.27826,2,24,0.7209,4201.087
1,phase1,1024,1.2,30000,0.178386,24.5608,-0.284862,2,24,0.7077,4201.087
2,phase1,1024,1.2,30000,0.179854,24.0461,-0.285012,2,24,0.7135,4201.087
3,phase1,1024,1.2,30000,0.303377,14.187,-0.160684,2,24,1.2036,4201.087
4,phase1,1024,1.2,30000,0.314621,13.7388,-0.07725,4,0,1.2482,4201.087
5,phase1,1024,1.2,30000,0.327272,13.2551,-0.0132,4,0,1.2984,4201.087
6,phase1,1024,1.2,30000,0.323541,13.2928,0.030436,4,0,1.2836,4201.087
7,phase2,1024,3.0,30000,0.319966,13.4468,-0.575445,1,32,0.5078,4201.087
8,phase2,1024,3.0,30000,0.374553,11.5495,-0.556204,1,32,0.5944,4201.087
9,phase2,1024,3.0,30000,0.370189,11.6256,-0.541489,1,32,0.5875,4201.087
10,phase2,1024,3.0,30000,0.357875,12.1908,-0.53124,1,32,0.5679,4201.087
11,phase2,1024,3.0,30000,0.3733,11.5391,-0.520665,1,32,0.5924,4201.087
12,phase2,1024,3.0,30000,0.370917,11.6445,-0.512013,1,32,0.5886,4201.087
13,phase2,1024,3.0,30000,0.381017,11.3182,-0.503433,1,32,0.6046,4201.087
14,phase2,1024,3.0,30000,0.360083,11.9532,-0.498211,2,24,0.5714,4201.087
